transaction_id,net_sales,store_id,date,order_time
1,101.37,0071,2024-08-22,17:16
2,9.99,0008,2024-08-01,13:26
3,36.95,0063,2024-08-24,13:56
4,12.98,0013,2024-08-11,13:09
5,34.43,0016,2024-07-13,0:25
6,9.48,0058,2024-08-13,18:06
7,41.44,0026,2024-08-04,15:34
8,41.94,0031,2024-08-31,13:58
9,96.86999999999999,0009,2024-09-21,15:06
10,11.44,0001,2024-08-15,13:44
11,14.47,0053,2024-09-25,3:25
12,36.46,0074,2024-09-22,9:05
13,7.49,0099,2024-09-08,13:08
14,38.940000000000005,0067,2024-09-14,13:43
15,57.910000000000004,0099,2024-08-02,18:35
16,71.9,0031,2024-08-31,11:39
17,25.92,0001,2024-09-22,13:38
18,32.93,0083,2024-08-10,22:18
19,66.4,0005,2024-09-14,16:40
20,81.91,0008,2024-08-17,11:04
21,29.450000000000003,0095,2024-08-27,13:31
22,55.95,0027,2024-07-19,15:18
23,9.45,0067,2024-07-30,11:16
24,6.98,0074,2024-09-11,4:12
25,68.87,0080,2024-08-02,6:03
26,8.48,0058,2024-08-24,13:44
27,34.93,0096,2024-08-25,13:41
28,66.35000000000001,0004,2024-08-31,20:12
29,90.88,0057,2024-07-22,7:33
30,60.410000000000004,0018,2024-09-27,19:03
31,32.94,0004,2024-08-25,19:31
32,52.910000000000004,0066,2024-09-21,12:05
33,77.86,0045,2024-07-24,17:18
34,39.42,0049,2024-08-23,13:03
35,35.46,0068,2024-08-17,13:25
36,20.96,0055,2024-09-11,17:31
37,20.46,0083,2024-09-12,12:26
38,51.440000000000005,0033,2024-08-27,21:27
39,111.86,0025,2024-07-18,11:17
40,31.450000000000003,0075,2024-07-04,17:18
41,1.99,0027,2024-08-03,22:08
42,10.47,0069,2024-07-09,12:20
43,30.96,0012,2024-08-14,22:01
44,11.48,0081,2024-08-26,13:20
45,31.4,0027,2024-07-03,11:35
46,26.43,0078,2024-07-27,16:31
47,4.99,0032,2024-07-01,0:34
48,29.47,0003,2024-08-02,18:50
49,57.93000000000001,0079,2024-07-27,12:38
50,27.97,0084,2024-08-24,22:41
51,54.39,0080,2024-08-20,11:37
52,45.95,0014,2024-09-18,19:27
53,6.98,0087,2024-07-11,12:01
